"X","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24"
114,0.625183923539929,0.454942851323223,0.353381194051125,0.435611759322355,0.661214969233306,1,0.679274846580372,0.210946857197271,0.231682640211878,0.226904211379926,0.29953004488609,0.446604455465076,0.574192761934561,0.730146369527963,0.787291588250841,0.800140011125397,0.78605597466722,0.787153437774996,0.871272017822227,0.778687872779745,0.739023805675061,0.762771241968883,0.747788750341686,0.725894016621918
171,0.512265282885066,0.426000978398474,0.357672878387708,0.314248059151336,0.286690803630711,0.280943054371367,0.260251426126998,0.2863621292968,0.271545940890321,0.318510811775567,0.458328542395103,0.549327514829121,0.628863399026466,0.706504057516897,0.764338359454922,0.851079404014026,0.942803072695008,0.975322299742439,1,0.992662915893484,0.947495134226991,0.898148057275007,0.747662294574574,0.618510933853812
187,0.655865871310838,0.586886746419643,0.538222312589912,0.505047852980159,0.452957673742605,0.446697377863596,0.438800327587067,0.500893484171845,0.558811737600686,0.488995538013186,0.505347932625487,0.55336520419259,0.582975380847031,0.702238952570738,0.784853293093147,0.871750725317245,0.902835332113597,0.931691288915148,0.983111459392221,0.992559184462226,1,0.864861124364798,0.762016794993888,0.721381630330536
364,0.305627866480532,0.228047391205887,0.210229559025594,0.203001477676938,0.180272473352623,0.16810685626855,0.292204544676506,0.289354000837902,0.299361208249884,0.344648091285844,0.479535981941838,0.660072771400384,0.825062545135513,0.985255223261705,0.983253151174977,1,0.980539787937031,0.922135195418775,0.860619274082105,0.738354426339693,0.718135473672438,0.631356312892457,0.514145834661571,0.397857994239467
370,0.951675440836143,0.827209629677082,0.64277364521885,0.496234317705663,0.416418438963278,0.3737622811386,0.470823023082491,0.477159542435707,0.476132973794739,0.529352427858078,0.656780985827993,0.714955582870539,0.744261505407918,0.781624123133469,0.838779506410998,0.910804667746891,0.97589343548558,0.786541865487184,0.833664157742862,0.884108183851142,1,0.979116810702204,0.966901095137325,0.889213691738489
545,0.429276439770715,0.38130223675575,0.352157532613919,0.403403752173278,0.467742929437048,0.628345777464214,0.647631281520643,0.306424135011883,0.261540857415844,0.304383468057965,0.439693894530803,0.530478142324216,0.631653083049111,0.711312664693424,0.759057418439426,0.88516095048477,1,0.98472920314196,0.961418648297323,0.921308081040254,0.873656897422776,0.753945634353421,0.676823742923595,0.501500442144169
744,0.89922931168225,0.855084814099996,0.821721424851226,0.779695718005654,0.730631975526617,0.664947483300489,0.610700220923504,0.556906665526743,0.293209378533261,0.221849739979765,0.218647748397223,0.226373138993817,0.235332291757567,0.273704419800787,0.305809906933432,0.385190533021425,0.493318040591618,0.887615350283963,0.940762446674328,0.935259562328698,1,0.990042984097597,0.978381173843352,0.959080580535988
861,0.846317273924384,0.670733560714604,0.552375503741843,0.489592907409569,0.444366418340154,0.421633015460502,0.408559242836449,0.317670417883889,0.32391377973657,0.338976694266283,0.373645715692972,0.442049674849778,0.516334065407704,0.637072883184452,0.739642239933025,0.812524143767403,0.864954932750676,0.93954498814341,1,0.983089996805889,0.900954914953019,0.865302137210768,0.825909745221049,0.95213507503764
871,0.627092109368463,0.480412233880656,0.366825661962246,0.328541184313121,0.314988812827925,0.281115189653737,0.256343508678736,0.350272371522282,0.429969903110953,0.538604682534144,0.368766595158405,0.3874732735485,0.411595092404024,0.454751383508612,0.424498549909729,0.445956354339001,0.525682925282481,1,0.990813138679305,0.874172223901223,0.736874169002073,0.769686479048798,0.797264283127461,0.741600571238203
936,0.554268513352344,0.386374331592586,0.365187775207156,0.308405628553349,0.252130425135633,0.214685676130148,0.225073168307073,0.184871328654118,0.242091495082176,0.275201592895518,0.230485851295571,0.224997329219744,0.232453298649847,0.275214043979203,0.318872778334921,0.362777741533321,0.387264406204358,0.759669003091553,1,0.985595362692218,0.967385032901564,0.931545144000375,0.840315099970665,0.713054886383942
