"plant_code","tech","mw_cap","cap_fac","heat_rate"
4937,"Natural Gas Fired Combined Cycle",565.6,0.770224555559536,5283.1207078289
4939,"Natural Gas Fired Combined Cycle",730.2,0.126335187311522,7860.10589352159
4939,"Natural Gas Steam Turbine",352,0.0219242943129929,12489.6307910775
50026,"Natural Gas Fired Combustion Turbine",47,0.666151753618964,4484.98184257733
50043,"Natural Gas Fired Combined Cycle",380.7,0.544423669425717,4516.05456369199
50054,"Natural Gas Fired Combustion Turbine",6.9,0.0983885910925816,4903.64889860434
50101,"Wood/Wood Waste Biomass",57.7,0.558440761931895,4610.8054487804
50109,"Natural Gas Fired Combined Cycle",265.6,0.165260385787541,6607.20062286957
50118,"Natural Gas Fired Combined Cycle",152.5,0.245955272328721,3956.35452248821
50121,"All Other",12,0.0114916286149163,9231.7880794702
50121,"Petroleum Coke",57.2,0.173080914519271,14858.1394276226
50127,"Natural Gas Fired Combined Cycle",80,0.00556697108066971,11949.1863678231
50137,"Natural Gas Fired Combustion Turbine",101.9,0.0104464937869968,11487.6139410188
50150,"Natural Gas Fired Combined Cycle",168,0.41042092811835,7138.43927034121
50153,"All Other",56,0.221438763861709,9232.00066280643
50229,"Natural Gas Steam Turbine",35,0.470345727332029,4517.80761122823
50304,"All Other",102,0.365258751902587,9232.00026963593
50304,"Other Gases",150,0.152684931506849,11373.3427039097
50404,"All Other",38.8,0.2187867768206,9232.01054287751
50475,"Natural Gas Fired Combustion Turbine",41,0.159945428221406,10714.2882010932
50569,"Landfill Gas",12.4,0.84083904109589,13508.3602853125
50815,"Natural Gas Fired Combined Cycle",643.6,0.491417505719222,3788.17111187878
52065,"All Other",7.5,0.733485540334855,9231.93608632496
52069,"Natural Gas Steam Turbine",63.1,0.16458980092482,5172.85497592825
52071,"Conventional Steam Coal",661.5,0.752495884198428,10031.8831386546
52088,"Natural Gas Fired Combined Cycle",450,0.170950569825159,5928.77926905815
52120,"Natural Gas Fired Combined Cycle",603.1,0.481340349433085,3883.36638393077
52120,"Natural Gas Fired Combustion Turbine",75,0.593695585996956,5901.06599531352
52176,"Natural Gas Fired Combined Cycle",230,0.0886035989591005,6650.33513153763
54330,"Natural Gas Fired Combustion Turbine",3.7,0.788473404911761,13.4215057129441
54338,"Other Waste Biomass",23.5,0.010079665792286,67587.4698795181
54338,"Petroleum Liquids",1.4,0.00203848662752772,123080
54364,"Petroleum Liquids",6,0.00277777777777778,6910.95890410959
54520,"Other Waste Biomass",10.6,0.132441630050831,11975.5244755245
54607,"Natural Gas Internal Combustion Engine",3.5,3.26157860404436e-05,0
54676,"Natural Gas Fired Combined Cycle",497.9,0.49916707607152,5160.85746465424
54817,"Natural Gas Fired Combined Cycle",282.6,0.169965655788098,6574.84769368987
54979,"Onshore Wind Turbine",34.3,0.232444053942516,9231.99507459695
55015,"Natural Gas Fired Combustion Turbine",572,0.453135876680397,4854.91361735131
55025,"Natural Gas Fired Combustion Turbine",5.6,0.441393509458578,5120.07574008221
55047,"Natural Gas Fired Combined Cycle",815,0.684120630254904,5414.72875896855
55052,"Natural Gas Internal Combustion Engine",1.3,0.925008781173165,9775.96354661097
55053,"Natural Gas Internal Combustion Engine",10.4,0.622980330172111,10190.6582563958
55086,"Natural Gas Fired Combined Cycle",432,0.526195900038511,4868.12132565272
55091,"Natural Gas Fired Combined Cycle",1734,0.386813554323153,7719.61094935084
55097,"Natural Gas Fired Combined Cycle",1108.3,0.624218830164192,5820.95460936651
55123,"Natural Gas Fired Combined Cycle",801,0.462308779265644,5703.67631029769
55132,"Natural Gas Fired Combined Cycle",939.6,0.456185762906279,6418.83183383961
55137,"Natural Gas Fired Combined Cycle",940.2,0.371177032002571,5558.86671276932
55139,"Natural Gas Fired Combined Cycle",788.4,0.435542643952128,8111.47210671049
55144,"Natural Gas Fired Combined Cycle",989,0.457559409209062,7513.29446814307
55153,"Natural Gas Fired Combined Cycle",1088.2,0.556598344989643,5852.39204541113
55154,"Natural Gas Fired Combined Cycle",595,0.486033268032248,5656.0442702608
55168,"Natural Gas Fired Combined Cycle",618.7,0.488593606007194,6064.98807005914
55172,"Natural Gas Fired Combined Cycle",807,0.636077636958369,5547.12815472152
55187,"Natural Gas Fired Combined Cycle",918.3,0.696336041526657,4669.5690436148
55206,"Natural Gas Fired Combined Cycle",593.3,0.434921131140869,4511.43728784569
55215,"Natural Gas Fired Combined Cycle",1152.8,0.399411433088439,6060.51843547794
55223,"Natural Gas Fired Combined Cycle",418,0.366160606996945,6024.96357769965
55226,"Natural Gas Fired Combined Cycle",1036,0.663030734804968,5761.6584236275
55230,"Natural Gas Fired Combined Cycle",1280,0.474046092980571,6463.98551677041
55299,"Natural Gas Fired Combined Cycle",923.8,0.446566812580827,3881.84328938695
55311,"Natural Gas Fired Combustion Turbine",81,0.741057838660578,5349.48699662435
55313,"Natural Gas Fired Combined Cycle",517,0.610970474778783,3551.21930785229
55320,"Natural Gas Fired Combined Cycle",746,0.406231430236889,5740.8454042974
55327,"Natural Gas Fired Combined Cycle",932.9,0.548106606419876,4594.63551911238
55357,"Natural Gas Fired Combined Cycle",675.6,0.475437755358172,5985.87146357015
55365,"Natural Gas Fired Combustion Turbine",236,0.0457864135902794,12782.1608544534
55367,"Onshore Wind Turbine",75,0.185695585996956,9232.0043933706
55390,"Petroleum Liquids",10.8,0.0042385421951632,11326.6832917706
55464,"Natural Gas Fired Combined Cycle",1176,0.536190644784152,6349.5123763207
55470,"Natural Gas Fired Combined Cycle",861,0.523993697346555,4228.08498155179
55480,"Natural Gas Fired Combined Cycle",1850.8,0.581118980363795,6580.52045303824
55526,"Landfill Gas",10.2,0.736301369863014,10704.9247606019
